item_id,item_name,item_value,marketable
47761,"Calm Exotic Filament",315008,1
47762,"Calm Dark Filament",250005.01,1
47763,"Calm Firestorm Filament",165000,1
47764,"Calm Gamma Filament",480000,1
47765,"Calm Electrical Filament",701005.05,1
47888,"Agitated Exotic Filament",691003.99,1
47889,"Fierce Exotic Filament",4131000,1
47890,"Raging Exotic Filament",8115005.79,1
47891,"Chaotic Exotic Filament",22889999.96,1
47892,"Agitated Dark Filament",371011.67,1
47893,"Fierce Dark Filament",980001,1
47894,"Raging Dark Filament",909000,1
47895,"Chaotic Dark Filament",4800104.98,1
47896,"Agitated Firestorm Filament",371005.21,1
47897,"Fierce Firestorm Filament",1400000,1
47898,"Raging Firestorm Filament",1150008.1,1
47899,"Chaotic Firestorm Filament",1580001,1
47900,"Agitated Gamma Filament",356001.37,1
47901,"Fierce Gamma Filament",11561008,1
47902,"Raging Gamma Filament",17555556.47,1
47903,"Chaotic Gamma Filament",14000004.01,1
47904,"Agitated Electrical Filament",1800101.36,1
47905,"Fierce Electrical Filament",5770000.11,1
47906,"Raging Electrical Filament",13300001.8,1
47907,"Chaotic Electrical Filament",21708400.28,1
